"","funds_optimal","comp"
"1",1.21048072277605,"T=1"
"2",1.08490011114173,"T=1"
"3",1.25941670827076,"T=1"
"4",1,"T=1"
"5",1.17066302743778,"T=1"
"6",1.04362735912002,"T=1"
"7",1,"T=1"
"8",1,"T=1"
"9",1.21879035708906,"T=1"
"10",1,"T=1"
"11",1.20728729625272,"T=1"
"12",1,"T=1"
"13",1,"T=1"
"14",1,"T=1"
"15",1,"T=1"
"16",1,"T=1"
"17",1.27454113941212,"T=1"
"18",1,"T=1"
"19",1.05278486189768,"T=1"
"20",1,"T=1"
"21",1.03180879065112,"T=1"
"22",1,"T=1"
"23",1,"T=1"
"24",1,"T=1"
"25",1,"T=1"
"26",1.2014101793387,"T=1"
"27",1,"T=1"
"28",1,"T=1"
"29",1,"T=1"
"30",1,"T=1"
"31",1.06947604147854,"T=1"
"32",1,"T=1"
"33",1.12370068701809,"T=1"
"34",1.24823189708598,"T=1"
"35",1,"T=1"
"36",1,"T=1"
"37",1.19342007878314,"T=1"
"38",1.28252062719807,"T=1"
"39",1.34831371832102,"T=1"
"40",1.29839705130448,"T=1"
"41",1,"T=1"
"42",1,"T=1"
"43",1,"T=1"
"44",1.37874636575488,"T=1"
"45",1,"T=1"
"46",1,"T=1"
"47",1.03571561986968,"T=1"
"48",1,"T=1"
"49",1.23879131630178,"T=1"
"50",1,"T=1"
"51",1.16625776333324,"T=1"
"52",1.24831695576977,"T=1"
"53",1.25292190485207,"T=1"
"54",1.25989428891978,"T=1"
"55",1.25638695735443,"T=1"
"56",1,"T=1"
"57",1.16690908648072,"T=1"
"58",1.22332459805944,"T=1"
"59",1,"T=1"
"60",1,"T=1"
"61",1.01284934727275,"T=1"
"62",1.12864170612954,"T=1"
"63",1,"T=1"
"64",1.10779783491807,"T=1"
"65",1,"T=1"
"66",1.24882665897787,"T=1"
"67",1,"T=1"
"68",1.31728155281819,"T=1"
"69",1,"T=1"
"70",1.0994697142818,"T=1"
"71",1,"T=1"
"72",1,"T=1"
"73",1,"T=1"
"74",1,"T=1"
"75",1.34500652959385,"T=1"
"76",1,"T=1"
"77",1,"T=1"
"78",1.24207131604171,"T=1"
"79",1.05351104937904,"T=1"
"80",1.29698611609597,"T=1"
"81",1,"T=1"
"82",1.30163963497745,"T=1"
"83",1.31179996682631,"T=1"
"84",1.0787965842906,"T=1"
"85",1,"T=1"
"86",1,"T=1"
"87",1.18588541377788,"T=1"
"88",1.02165585667571,"T=1"
"89",1.15767681087416,"T=1"
"90",1,"T=1"
"91",1,"T=1"
"92",1,"T=1"
"93",1.15419882543695,"T=1"
"94",1,"T=1"
"95",1,"T=1"
"96",1,"T=1"
"97",1,"T=1"
"98",1.03316337937874,"T=1"
"99",1.07369464402004,"T=1"
"100",1,"T=1"
