"","funds_optimal","comp"
"1",1,"T=15"
"2",1.78351866903045,"T=15"
"3",1.78873362964784,"T=15"
"4",1,"T=15"
"5",1,"T=15"
"6",1,"T=15"
"7",1.74826371110483,"T=15"
"8",1,"T=15"
"9",1,"T=15"
"10",1.76007335286023,"T=15"
"11",1.79210485105111,"T=15"
"12",1.74941420474708,"T=15"
"13",1.87681399560389,"T=15"
"14",1.73408964989247,"T=15"
"15",1.85270725399467,"T=15"
"16",1.86845728628262,"T=15"
"17",1.79818837827947,"T=15"
"18",1,"T=15"
"19",1,"T=15"
"20",1.80597842483405,"T=15"
"21",1.73965234397849,"T=15"
"22",1.77499816655455,"T=15"
"23",1.91850399894336,"T=15"
"24",1,"T=15"
"25",1,"T=15"
"26",1.75952652258049,"T=15"
"27",1.82424315753979,"T=15"
"28",1,"T=15"
"29",1.84475422851379,"T=15"
"30",1.86454869051374,"T=15"
"31",1.74152110689016,"T=15"
"32",1.78765440615176,"T=15"
"33",1.81363626248786,"T=15"
"34",1.82589230098184,"T=15"
"35",1.81638562628184,"T=15"
"36",1,"T=15"
"37",1.80083619057525,"T=15"
"38",1.77407353422767,"T=15"
"39",1,"T=15"
"40",1.99535818120652,"T=15"
"41",1.77107018523238,"T=15"
"42",1.79231635052787,"T=15"
"43",1.79857469286014,"T=15"
"44",2.0097526990523,"T=15"
"45",1.91624848116531,"T=15"
"46",1.78873369644227,"T=15"
"47",1.75468833988991,"T=15"
"48",1.91252810318163,"T=15"
"49",1,"T=15"
"50",1,"T=15"
"51",1.85199385770925,"T=15"
"52",1.77530482685384,"T=15"
"53",1.75937282092064,"T=15"
"54",1.83136234178061,"T=15"
"55",1,"T=15"
"56",1,"T=15"
"57",1,"T=15"
"58",1.83998463845591,"T=15"
"59",1.78241231920266,"T=15"
"60",1.80035051958339,"T=15"
"61",1.87760813375561,"T=15"
"62",1.84494932533006,"T=15"
"63",1,"T=15"
"64",1.81882316932397,"T=15"
"65",1.80944972575486,"T=15"
"66",1.79442534221893,"T=15"
"67",1,"T=15"
"68",1.81441566024398,"T=15"
"69",1.78911728109521,"T=15"
"70",1.90359403340843,"T=15"
"71",1.82773395304889,"T=15"
"72",1,"T=15"
"73",1.86912487611465,"T=15"
"74",1.74152646080889,"T=15"
"75",1,"T=15"
"76",1.88998499352764,"T=15"
"77",1,"T=15"
"78",1.75197664365503,"T=15"
"79",1.76563604818031,"T=15"
"80",1.90746634363717,"T=15"
"81",1,"T=15"
"82",1.86528678646248,"T=15"
"83",1.73804958366376,"T=15"
"84",1,"T=15"
"85",1.80085568279465,"T=15"
"86",1.77020777774483,"T=15"
"87",1.74413659034518,"T=15"
"88",1,"T=15"
"89",1,"T=15"
"90",1.83051627966539,"T=15"
"91",1.78449713813529,"T=15"
"92",1.84537402628562,"T=15"
"93",1,"T=15"
"94",1,"T=15"
"95",1,"T=15"
"96",1,"T=15"
"97",1,"T=15"
"98",1,"T=15"
"99",1.78187902494902,"T=15"
"100",1,"T=15"
"101",1.82743193552541,"T=15"
"102",1,"T=15"
"103",1.96279667579773,"T=15"
"104",1.83349954333609,"T=15"
"105",1.80704994217016,"T=15"
"106",1,"T=15"
"107",1,"T=15"
"108",1.80985864044085,"T=15"
"109",1,"T=15"
"110",1.7647500375793,"T=15"
"111",1.85489320461863,"T=15"
"112",1.9328722817839,"T=15"
"113",1.80644879305566,"T=15"
"114",1,"T=15"
"115",1.77445916255589,"T=15"
"116",1,"T=15"
"117",1,"T=15"
"118",1.86372470664852,"T=15"
"119",1,"T=15"
"120",1.85293027522486,"T=15"
"121",1.75001650782535,"T=15"
"122",1.75610615043167,"T=15"
"123",1,"T=15"
"124",1,"T=15"
"125",1.77687528554776,"T=15"
"126",1.81221355713736,"T=15"
"127",1,"T=15"
"128",1,"T=15"
"129",1.75249885019344,"T=15"
"130",1.99823400745734,"T=15"
"131",1,"T=15"
"132",1,"T=15"
"133",1.97204601559989,"T=15"
"134",1.86798031932881,"T=15"
"135",1.74045118578584,"T=15"
"136",1.78695421956841,"T=15"
"137",1.87140126255288,"T=15"
"138",1.76699869622984,"T=15"
"139",1,"T=15"
"140",1.75730602981453,"T=15"
"141",1.81590668401766,"T=15"
"142",1.77632651127369,"T=15"
"143",1.74899147451479,"T=15"
"144",1.7955635966742,"T=15"
"145",1,"T=15"
"146",1,"T=15"
"147",1.78823645306197,"T=15"
"148",1.7516049109382,"T=15"
"149",1,"T=15"
"150",1.97497241676453,"T=15"
"151",1.83811100514503,"T=15"
"152",1,"T=15"
"153",1,"T=15"
"154",1.78138911986278,"T=15"
"155",1.85482696388087,"T=15"
"156",1.91119309293129,"T=15"
"157",1.8434110253663,"T=15"
"158",1.83070037542236,"T=15"
"159",1.87137417378016,"T=15"
"160",1.90323113387636,"T=15"
"161",1.86170647256607,"T=15"
"162",1.83342939186804,"T=15"
"163",1.81840880554333,"T=15"
"164",1.78502884781211,"T=15"
"165",1.87180867666894,"T=15"
"166",1.80230910062701,"T=15"
"167",1.81407080674453,"T=15"
"168",1.84118117707909,"T=15"
"169",1,"T=15"
"170",1,"T=15"
"171",1.87880632910805,"T=15"
"172",1.76212791820486,"T=15"
"173",1.84910468109518,"T=15"
"174",1.74852192584031,"T=15"
"175",1,"T=15"
"176",1.86658538883527,"T=15"
"177",1,"T=15"
"178",1.73498019485643,"T=15"
"179",1.7865470640488,"T=15"
"180",1.80071094173046,"T=15"
"181",1.8238733429671,"T=15"
"182",1.91872862814934,"T=15"
"183",1,"T=15"
"184",1,"T=15"
"185",1.7354693513549,"T=15"
"186",1.78790585941315,"T=15"
"187",1.75424196466998,"T=15"
