"","funds_optimal","comp"
"1",1,"T=15"
"2",1.68583289229046,"T=15"
"3",1.79294449053233,"T=15"
"4",1,"T=15"
"5",1,"T=15"
"6",1,"T=15"
"7",1,"T=15"
"8",1,"T=15"
"9",1,"T=15"
"10",1.59357532608096,"T=15"
"11",1.09219679290161,"T=15"
"12",1.39955997452874,"T=15"
"13",1.81019641005334,"T=15"
"14",1,"T=15"
"15",1.84189704678119,"T=15"
"16",1.87591803027068,"T=15"
"17",1.6264716685322,"T=15"
"18",1,"T=15"
"19",1,"T=15"
"20",1.80162823438349,"T=15"
"21",1.28743344056959,"T=15"
"22",1.85095889032064,"T=15"
"23",1.89225078862083,"T=15"
"24",1,"T=15"
"25",1,"T=15"
"26",1.70930469699744,"T=15"
"27",1.74873473294351,"T=15"
"28",1,"T=15"
"29",1.84822448382324,"T=15"
"30",1.85480369973911,"T=15"
"31",1.24263532018031,"T=15"
"32",1.68063180227137,"T=15"
"33",1.50192019725217,"T=15"
"34",1.78886075570641,"T=15"
"35",1.68964452999089,"T=15"
"36",1,"T=15"
"37",1.17052211790217,"T=15"
"38",1.24231435835284,"T=15"
"39",1,"T=15"
"40",1.99354110969087,"T=15"
"41",1.05702672946755,"T=15"
"42",1.72925859776431,"T=15"
"43",1.77775596537692,"T=15"
"44",1.99897256958361,"T=15"
"45",1.89477364640193,"T=15"
"46",1.49088152523322,"T=15"
"47",1.49805064437483,"T=15"
"48",1.86526506803081,"T=15"
"49",1,"T=15"
"50",1,"T=15"
"51",1.8539786037987,"T=15"
"52",1.23532454164016,"T=15"
"53",1.14797119671869,"T=15"
"54",1.24487072157228,"T=15"
"55",1,"T=15"
"56",1,"T=15"
"57",1,"T=15"
"58",1.6442568988853,"T=15"
"59",1.75621738690026,"T=15"
"60",1.13922367210947,"T=15"
"61",1.83769328926619,"T=15"
"62",1.73878202871466,"T=15"
"63",1,"T=15"
"64",1.14375958810532,"T=15"
"65",1.3147774680655,"T=15"
"66",1.5694542313314,"T=15"
"67",1,"T=15"
"68",1.81703510562298,"T=15"
"69",1.50434200947342,"T=15"
"70",1.88170300936053,"T=15"
"71",1.82897743139417,"T=15"
"72",1,"T=15"
