"","funds_optimal","comp"
"1",1.85934431433993,"T=5"
"2",1,"T=5"
"3",1.77755129359509,"T=5"
"4",1.81829169349544,"T=5"
"5",1,"T=5"
"6",1.76998169734535,"T=5"
"7",1.77245791567171,"T=5"
"8",1,"T=5"
"9",1.82628380433629,"T=5"
"10",1,"T=5"
"11",1.84037183936528,"T=5"
"12",1.77308068972448,"T=5"
"13",1.7472780630064,"T=5"
"14",1.8241976739376,"T=5"
"15",1.78095559014626,"T=5"
"16",1.78091859449897,"T=5"
"17",1,"T=5"
"18",1.85688047600269,"T=5"
"19",1,"T=5"
"20",1.73640380620475,"T=5"
"21",1,"T=5"
"22",1,"T=5"
"23",1.76025010176523,"T=5"
"24",1.75615235527852,"T=5"
"25",1.74991403432033,"T=5"
"26",1.74539984859835,"T=5"
"27",1.8046313561348,"T=5"
"28",1.74270527801413,"T=5"
"29",1,"T=5"
"30",1.80155273854786,"T=5"
"31",1,"T=5"
"32",1.74792765160972,"T=5"
"33",1,"T=5"
"34",1,"T=5"
"35",1,"T=5"
"36",1,"T=5"
"37",1.79354388596546,"T=5"
"38",1.8057199666875,"T=5"
"39",1.80993628860268,"T=5"
"40",1.75378423966832,"T=5"
"41",1,"T=5"
"42",1.73451048273106,"T=5"
"43",1.73408051279985,"T=5"
"44",1,"T=5"
"45",1.739798559595,"T=5"
"46",1,"T=5"
"47",1,"T=5"
"48",1.77518612260812,"T=5"
"49",1,"T=5"
"50",1.74809520850661,"T=5"
"51",1.80956726217431,"T=5"
"52",1.85812709613098,"T=5"
"53",1.78302230530124,"T=5"
"54",1.7621687992714,"T=5"
"55",1,"T=5"
"56",1,"T=5"
"57",1.76249112784513,"T=5"
"58",1.78815331531886,"T=5"
"59",1.76833142220178,"T=5"
"60",1.78002912295721,"T=5"
"61",1.74884809074422,"T=5"
"62",1,"T=5"
"63",1.76207253402726,"T=5"
"64",1.79491911848683,"T=5"
"65",1,"T=5"
"66",1.76617175373646,"T=5"
"67",1,"T=5"
"68",1,"T=5"
"69",1,"T=5"
"70",1.74004061272986,"T=5"
"71",1,"T=5"
"72",1.74002326656973,"T=5"
"73",1.77621063625372,"T=5"
"74",1.82404692214127,"T=5"
"75",1.76909257402124,"T=5"
"76",1.80079678980723,"T=5"
"77",1,"T=5"
"78",1.77605009483984,"T=5"
"79",1.85972329485296,"T=5"
"80",1,"T=5"
"81",1.79559857714553,"T=5"
"82",1.80677151608921,"T=5"
"83",1.81325555925067,"T=5"
"84",1.75520081003495,"T=5"
"85",1.80680194287049,"T=5"
"86",1,"T=5"
"87",1.78665013493801,"T=5"
"88",1,"T=5"
"89",1.7552341752001,"T=5"
"90",1.75407795413337,"T=5"
"91",1,"T=5"
"92",1.75266147607868,"T=5"
"93",1.78411255939143,"T=5"
"94",1.76807827716353,"T=5"
"95",1,"T=5"
"96",1,"T=5"
"97",1,"T=5"
"98",1.82425600703824,"T=5"
"99",1.8457811226124,"T=5"
"100",1,"T=5"
"101",1,"T=5"
"102",1.74389715143709,"T=5"
"103",1.75468347429489,"T=5"
"104",1.73435222404779,"T=5"
"105",1,"T=5"
"106",1,"T=5"
"107",1.76849048219603,"T=5"
"108",1.79961528789865,"T=5"
"109",1,"T=5"
"110",1,"T=5"
"111",1.78056806250631,"T=5"
"112",1.74036958114069,"T=5"
"113",1.79194756904879,"T=5"
"114",1.75221933959878,"T=5"
"115",1.73313792249224,"T=5"
"116",1,"T=5"
"117",1.73659149218703,"T=5"
"118",1,"T=5"
"119",1,"T=5"
"120",1.74523463524863,"T=5"
"121",1.82289502012437,"T=5"
"122",1.79019024636586,"T=5"
"123",1,"T=5"
"124",1,"T=5"
"125",1.78652818515563,"T=5"
"126",1,"T=5"
"127",1,"T=5"
"128",1.81746357170479,"T=5"
"129",1,"T=5"
"130",1,"T=5"
"131",1.81473830569016,"T=5"
"132",1.76947111132826,"T=5"
"133",1.7916600610783,"T=5"
"134",1,"T=5"
"135",1.74132176897855,"T=5"
"136",1.77377013469685,"T=5"
"137",1,"T=5"
"138",1.86694590514921,"T=5"
"139",1.75841332597597,"T=5"
"140",1.78596592410203,"T=5"
"141",1.77092351249914,"T=5"
"142",1,"T=5"
"143",1.76012579171645,"T=5"
"144",1.84438456404471,"T=5"
"145",1.74576615850238,"T=5"
"146",1.7773741427678,"T=5"
"147",1.79790365089993,"T=5"
"148",1,"T=5"
"149",1.79288785789655,"T=5"
"150",1,"T=5"
"151",1.75523125628452,"T=5"
"152",1,"T=5"
"153",1.73570692713918,"T=5"
"154",1.75994566881293,"T=5"
"155",1,"T=5"
"156",1,"T=5"
"157",1.75124023695775,"T=5"
"158",1,"T=5"
"159",1.75136646093881,"T=5"
"160",1.77579889737108,"T=5"
"161",1.80610290820606,"T=5"
"162",1.73622606229912,"T=5"
"163",1,"T=5"
"164",1.73420487116466,"T=5"
"165",1.74608838828195,"T=5"
"166",1.76132847582161,"T=5"
"167",1.76770729817215,"T=5"
"168",1,"T=5"
"169",1.8478712377012,"T=5"
"170",1,"T=5"
"171",1.75219381026859,"T=5"
"172",1,"T=5"
"173",1.74801958067739,"T=5"
"174",1,"T=5"
"175",1,"T=5"
"176",1.81428327097344,"T=5"
"177",1.80659224767035,"T=5"
"178",1,"T=5"
"179",1.80929446799149,"T=5"
"180",1,"T=5"
"181",1,"T=5"
"182",1.73891288446394,"T=5"
"183",1.7835462464529,"T=5"
"184",1.75624272030583,"T=5"
"185",1.82319293794466,"T=5"
"186",1.84813395603509,"T=5"
"187",1.76736552983265,"T=5"
"188",1,"T=5"
"189",1.78633856658909,"T=5"
"190",1.73953355668756,"T=5"
"191",1,"T=5"
"192",1,"T=5"
"193",1.74612266469652,"T=5"
"194",1.74215088270641,"T=5"
"195",1.81485967415024,"T=5"
"196",1.77943644045619,"T=5"
"197",1.77707348600536,"T=5"
"198",1,"T=5"
"199",1,"T=5"
"200",1,"T=5"
"201",1,"T=5"
"202",1.74390577134337,"T=5"
"203",1,"T=5"
"204",1.76667978565436,"T=5"
"205",1,"T=5"
"206",1.78253401044828,"T=5"
"207",1,"T=5"
"208",1.78150858636614,"T=5"
"209",1.74340851894718,"T=5"
"210",1.74450766766785,"T=5"
"211",1.84637267234943,"T=5"
"212",1.73978858931864,"T=5"
"213",1.79782285762226,"T=5"
"214",1,"T=5"
"215",1.74824895595286,"T=5"
"216",1.75042467030407,"T=5"
"217",1.77958722885946,"T=5"
"218",1,"T=5"
"219",1,"T=5"
"220",1.76133818618981,"T=5"
"221",1.74751499804105,"T=5"
"222",1,"T=5"
"223",1,"T=5"
"224",1.75609149140238,"T=5"
"225",1.79085053499754,"T=5"
"226",1,"T=5"
"227",1.75918960331325,"T=5"
"228",1.74043990763469,"T=5"
"229",1,"T=5"
"230",1.75151534212662,"T=5"
"231",1,"T=5"
"232",1.77077569065935,"T=5"
"233",1,"T=5"
"234",1.80231739435255,"T=5"
"235",1.82510219713478,"T=5"
"236",1.73648051958113,"T=5"
"237",1.76705699922424,"T=5"
"238",1,"T=5"
"239",1.79366099793857,"T=5"
"240",1,"T=5"
"241",1.73783180124165,"T=5"
"242",1,"T=5"
"243",1,"T=5"
"244",1.78111491446323,"T=5"
"245",1.84589470873135,"T=5"
"246",1.76436986034678,"T=5"
"247",1,"T=5"
"248",1,"T=5"
"249",1.75002449139966,"T=5"
"250",1,"T=5"
"251",1,"T=5"
"252",1,"T=5"
"253",1.77782501216123,"T=5"
"254",1,"T=5"
"255",1,"T=5"
"256",1,"T=5"
"257",1,"T=5"
"258",1,"T=5"
"259",1.77162444905651,"T=5"
"260",1,"T=5"
"261",1.76171034933475,"T=5"
"262",1.76158418255689,"T=5"
"263",1.79019182521153,"T=5"
"264",1.76841406773153,"T=5"
"265",1,"T=5"
"266",1,"T=5"
"267",1,"T=5"
"268",1.81926481647777,"T=5"
"269",1.77886771064312,"T=5"
"270",1.74387808051057,"T=5"
"271",1.73464709816879,"T=5"
"272",1.761007191116,"T=5"
"273",1.73871066197692,"T=5"
"274",1.85225681045373,"T=5"
"275",1.80711102945815,"T=5"
"276",1.74487520895535,"T=5"
"277",1.77916335159525,"T=5"
"278",1,"T=5"
"279",1,"T=5"
"280",1.75567558584438,"T=5"
"281",1.8099355296752,"T=5"
"282",1.8444741009437,"T=5"
"283",1.85716126896733,"T=5"
"284",1.8107324777487,"T=5"
"285",1,"T=5"
"286",1.78020160839268,"T=5"
"287",1.77383104446327,"T=5"
"288",1,"T=5"
"289",1,"T=5"
"290",1.76115064471647,"T=5"
"291",1.75758171563981,"T=5"
"292",1.82552984224862,"T=5"
"293",1.81316365732384,"T=5"
"294",1.79160284138849,"T=5"
"295",1.85895354218605,"T=5"
"296",1.76591105516174,"T=5"
"297",1,"T=5"
"298",1.80666796275993,"T=5"
"299",1,"T=5"
"300",1.76506985509858,"T=5"
"301",1.84510213474887,"T=5"
"302",1.80464174758607,"T=5"
"303",1,"T=5"
"304",1.84133121268243,"T=5"
"305",1.76406245052818,"T=5"
"306",1,"T=5"
"307",1,"T=5"
"308",1,"T=5"
"309",1,"T=5"
"310",1.80445319756046,"T=5"
"311",1,"T=5"
"312",1.76827499165187,"T=5"
"313",1,"T=5"
"314",1,"T=5"
"315",1,"T=5"
"316",1,"T=5"
"317",1.73912490544966,"T=5"
"318",1.80434320665487,"T=5"
"319",1.74927449300295,"T=5"
"320",1.76230239286301,"T=5"
"321",1.7432847848084,"T=5"
"322",1,"T=5"
"323",1.76612133836157,"T=5"
"324",1.80488919553771,"T=5"
"325",1,"T=5"
"326",1,"T=5"
"327",1.73242245725639,"T=5"
"328",1,"T=5"
"329",1,"T=5"
"330",1.78172838052528,"T=5"
"331",1,"T=5"
"332",1.78593416915573,"T=5"
"333",1.80919065883668,"T=5"
"334",1.80890954847712,"T=5"
"335",1.85283741737272,"T=5"
"336",1,"T=5"
"337",1,"T=5"
"338",1,"T=5"
"339",1.86112714016206,"T=5"
"340",1.77673439360657,"T=5"
"341",1.75131655765738,"T=5"
"342",1.7377265401853,"T=5"
"343",1.73903528216063,"T=5"
"344",1.74794288288553,"T=5"
"345",1.83586457417428,"T=5"
"346",1,"T=5"
"347",1,"T=5"
"348",1,"T=5"
"349",1.77151090077398,"T=5"
"350",1.76525767832444,"T=5"
"351",1.80949156373538,"T=5"
"352",1.86659490656472,"T=5"
"353",1,"T=5"
"354",1.81986643420992,"T=5"
"355",1,"T=5"
"356",1.74094580612402,"T=5"
"357",1,"T=5"
"358",1,"T=5"
"359",1,"T=5"
"360",1,"T=5"
"361",1.76582503619257,"T=5"
"362",1,"T=5"
