"","funds_optimal","comp"
"224",1,"T=5"
"225",1,"T=5"
"226",1.47080769721052,"T=5"
"227",1,"T=5"
"228",1.58555643764448,"T=5"
"229",1.41917260804271,"T=5"
"230",1,"T=5"
"231",1,"T=5"
"232",1.43535525986304,"T=5"
"233",1.56812211175582,"T=5"
"234",1,"T=5"
"235",1.64225653948398,"T=5"
"236",1.25443725201696,"T=5"
"237",1,"T=5"
"238",1.10705597127265,"T=5"
"239",1,"T=5"
"240",1.0888081230876,"T=5"
"241",1.33028945552433,"T=5"
"242",1,"T=5"
"243",1,"T=5"
"244",1.58366533716587,"T=5"
"245",1.12953057130276,"T=5"
"246",1,"T=5"
"247",1,"T=5"
"248",1.17854661509822,"T=5"
"249",1.19171245043468,"T=5"
"250",1.43571760820528,"T=5"
"251",1.16497061963001,"T=5"
"252",1,"T=5"
"253",1.01387366041775,"T=5"
"254",1,"T=5"
"255",1.34686599068512,"T=5"
"256",1.58962590298289,"T=5"
"257",1.1371122503629,"T=5"
"258",1.09988495996236,"T=5"
"259",1,"T=5"
"260",1.11936298195617,"T=5"
"261",1.15782105393126,"T=5"
"262",1.5599132878443,"T=5"
"263",1,"T=5"
"264",1.24196380916207,"T=5"
"265",1.69649001049922,"T=5"
"266",1,"T=5"
"267",1.03002570910501,"T=5"
"268",1.28139151771114,"T=5"
"269",1.02951800229721,"T=5"
"270",1.43476650405656,"T=5"
"271",1,"T=5"
"272",1.15013940145776,"T=5"
"273",1,"T=5"
"274",1,"T=5"
"275",1.425568571324,"T=5"
"276",1.47332448816244,"T=5"
"277",1.4067169173995,"T=5"
"278",1.18018560338907,"T=5"
"279",1.02533145511083,"T=5"
"280",1,"T=5"
"281",1,"T=5"
"282",1,"T=5"
"283",1,"T=5"
"284",1.5604530950207,"T=5"
"285",1.21112686841183,"T=5"
"286",1,"T=5"
"287",1,"T=5"
"288",1,"T=5"
"289",1,"T=5"
"290",1.44754967906235,"T=5"
"291",1,"T=5"
"292",1,"T=5"
"293",1,"T=5"
"294",1.15988182644236,"T=5"
"295",1.28883900429921,"T=5"
"296",1.61851331399724,"T=5"
"297",1,"T=5"
"298",1.04874240862223,"T=5"
"299",1,"T=5"
"300",1.39922625276666,"T=5"
"301",1.00091531817882,"T=5"
"302",1.05911748555246,"T=5"
"303",1.56190798605262,"T=5"
"304",1,"T=5"
"305",1.49596228572051,"T=5"
"306",1,"T=5"
"307",1.60834589090192,"T=5"
"308",1.62105394953352,"T=5"
"309",1.23285157910108,"T=5"
"310",1,"T=5"
"311",1,"T=5"
"312",1,"T=5"
"313",1.36774988831491,"T=5"
"314",1.04091872805604,"T=5"
"315",1,"T=5"
"316",1.54690086325289,"T=5"
"317",1,"T=5"
"318",1,"T=5"
"319",1,"T=5"
"320",1.54864960164145,"T=5"
"321",1,"T=5"
"322",1.55366059519682,"T=5"
"323",1,"T=5"
"324",1.49060847717914,"T=5"
"325",1,"T=5"
"326",1.37512660486153,"T=5"
"327",1.0759777308283,"T=5"
"328",1.58635404186465,"T=5"
"329",1.24426743814496,"T=5"
"330",1.32149895539771,"T=5"
"331",1,"T=5"
"332",1.69286696429265,"T=5"
"333",1,"T=5"
"334",1,"T=5"
"335",1,"T=5"
"336",1,"T=5"
"337",1.59195756550668,"T=5"
"338",1.50503752611349,"T=5"
"339",1,"T=5"
"340",1,"T=5"
"341",1.25024041357364,"T=5"
"342",1.28502065584787,"T=5"
"343",1,"T=5"
"344",1.5532190142793,"T=5"
"345",1.45892250487326,"T=5"
"346",1.33690797184141,"T=5"
"347",1,"T=5"
"348",1,"T=5"
"349",1,"T=5"
"350",1.74798953754023,"T=5"
"351",1,"T=5"
"352",1.04614508446867,"T=5"
"353",1.01911605690547,"T=5"
"354",1.20577522812832,"T=5"
"355",1.49417561480835,"T=5"
"356",1,"T=5"
"357",1,"T=5"
"358",1.3539998300991,"T=5"
"359",1.70493333975246,"T=5"
"360",1.48913559173166,"T=5"
"361",1.31099201103068,"T=5"
"362",1.17320391505704,"T=5"
"363",1,"T=5"
"364",1,"T=5"
"365",1,"T=5"
"366",1.02268833287128,"T=5"
"367",1,"T=5"
"368",1.6713886590865,"T=5"
"369",1,"T=5"
"370",1.27670001234866,"T=5"
"371",1,"T=5"
"372",1,"T=5"
