"","funds_optimal","comp"
"217",1,"T=1"
"218",1.75263568269488,"T=1"
"219",1.74001715209969,"T=1"
"220",1.77584998423974,"T=1"
"221",1.75816113057526,"T=1"
"222",1.75299244129422,"T=1"
"223",1,"T=1"
"224",1.7777889384239,"T=1"
"225",1,"T=1"
"226",1,"T=1"
"227",1,"T=1"
"228",1.77252065053712,"T=1"
"229",1.77192324161049,"T=1"
"230",1.73422260605838,"T=1"
"231",1,"T=1"
"232",1.74548385192698,"T=1"
"233",1,"T=1"
"234",1,"T=1"
"235",1,"T=1"
"236",1.75280149894041,"T=1"
"237",1.742108095917,"T=1"
"238",1,"T=1"
"239",1.73443330274506,"T=1"
"240",1.75217441313637,"T=1"
"241",1.74313633986485,"T=1"
"242",1.77198963516289,"T=1"
"243",1.74295178133113,"T=1"
"244",1,"T=1"
"245",1.76020793615687,"T=1"
"246",1.73646479394097,"T=1"
"247",1.76514734548478,"T=1"
"248",1.73429842434702,"T=1"
"249",1.75667677804395,"T=1"
"250",1.73213157066401,"T=1"
"251",1.74236725646137,"T=1"
"252",1,"T=1"
"253",1,"T=1"
"254",1,"T=1"
"255",1.747900127073,"T=1"
"256",1,"T=1"
"257",1,"T=1"
"258",1.74509307035826,"T=1"
"259",1,"T=1"
"260",1.75102036319239,"T=1"
"261",1.76191229259481,"T=1"
"262",1.75330740330924,"T=1"
"263",1.73651666937215,"T=1"
"264",1,"T=1"
"265",1.74601567676372,"T=1"
"266",1,"T=1"
"267",1,"T=1"
"268",1.74978855595205,"T=1"
"269",1.76828013669327,"T=1"
"270",1.76448547222622,"T=1"
"271",1.73803576869829,"T=1"
"272",1.74438823897731,"T=1"
"273",1,"T=1"
"274",1.76740225855846,"T=1"
"275",1.74776834695221,"T=1"
"276",1.7459374568854,"T=1"
"277",1,"T=1"
"278",1.73807102146994,"T=1"
"279",1,"T=1"
"280",1,"T=1"
"281",1.76496443859078,"T=1"
"282",1,"T=1"
"283",1,"T=1"
"284",1.75501815693354,"T=1"
"285",1.73822235762356,"T=1"
"286",1,"T=1"
"287",1,"T=1"
"288",1.73843903371392,"T=1"
"289",1.73577932031184,"T=1"
"290",1,"T=1"
"291",1.7435016433092,"T=1"
"292",1,"T=1"
"293",1.74174445613035,"T=1"
"294",1,"T=1"
"295",1,"T=1"
"296",1.75218451316089,"T=1"
"297",1.7404268901034,"T=1"
"298",1.76360041443776,"T=1"
"299",1.73787619421654,"T=1"
"300",1.7470674658382,"T=1"
"301",1.75347262893655,"T=1"
"302",1,"T=1"
"303",1,"T=1"
